1,565092
1,1273585
2,776111
2,1547118
3,532907
4,776375
5,940952
5,1098987
6,395290
7,395109
7,1467380
8,1362049
9,268259
10,859158
11,431872
12,695839
13,484208
14,254468
15,236063
16,250528
17,63049
18,73714
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,2293
27,0
28,0
29,0
30,428158
31,89013
32,264412
33,422723
34,0
35,172878
36,514707
37,0
38,0
39,0
40,0
41,340534
42,0
43,325280
44,0
45,0
46,0
47,137079
47,241519
48,702544
48,1133035
49,0
50,248009
51,333791
52,333680
53,663464
54,0
55,0
56,0
57,9944
58,300794
59,0
60,329732
61,329656
62,329607
63,7
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,348
72,694
73,0
74,254
75,1
76,0
77,0
78,0
