1,1726985
2,1726921
3,4177176
4,49363
5,49265
6,1096866
7,1011191
8,1096334
9,3695886
10,49515
11,3691216
12,3761792
13,3849871
14,3849316
15,4716656
16,4715746
17,939227
18,3685091
19,3847574
20,3508142
21,4714953
22,0
23,3285123
24,0
25,2607872
26,2667306
27,45722
27,45742
28,2844984
29,155
30,89260
31,62203
32,16424
33,43
34,66
35,77416
36,11103
37,74478
38,56896
39,5258
40,4713
41,92461
42,32270
43,49285
44,97082
45,2239
46,14366
47,2457
48,71043
49,15908
50,14966
51,139728
52,5907
53,0
54,867606
55,868624
56,868569
57,0
58,0
59,3285
60,2316
