2,2132513
3,1012190
4,2087830
5,82098
6,2072034
7,3018495
8,2007166
9,5370
10,1555
11,794765
12,794524
13,878029
14,1997961
15,1997833
16,190791
17,1997181
18,1995992
19,1995942
20,874651
21,520847
22,438020
23,2937
24,410599
25,244774
26,167932
27,69812
28,65424
29,274090
30,1313615
31,1307063
32,46370
33,1285860
34,1224306
35,1806161
36,1709259
37,1653326
38,794363
39,454140
40,1092175
41,1037100
42,836873
43,835102
44,20
45,661319
46,195144
47,117642
48,237020
49,236808
50,21101
51,266086
52,265995
53,0
54,394622
55,440278
56,104484
57,371162
58,266811
59,266857
60,0
61,268173
62,171637
63,178076
64,166099
65,5714
66,122784
67,103773
68,95898
69,6
