1,140479,1209600
2,414121,1209600
7,1110917,1209600
8,1331203,1209600
9,-83614,259200
10,507917,259200
11,80845,259200
12,345349,259200
13,134049,259200
14,-94897,259200
15,-112538,259200
16,-94728,259200
18,-38045,259200
26,75614,259200
30,509215,259200
31,170121,259200
32,345570,259200
33,503916,259200
35,338703,259200
36,421732,777600
41,-25249,-86400
43,-37071,-86400
48,1369546,687600
50,764702,1296000
51,850604,1296000
52,850585,1296000
53,1180540,1296000
57,774403,1296000
58,1073751,1296000
60,1180574,1296000
61,1180564,1296000
62,1180554,1296000
63,922563,1296000
