2,1008102,860400
3,-112051,860400
4,1008145,860400
6,1008179,860400
7,1094347,1209600
8,1008268,860400
13,-112124,860400
14,1008286,860400
15,1008316,860400
17,1008332,860400
18,1008341,860400
19,1008363,860400
20,-112523,860400
29,-113537,860400
30,1111998,860400
31,1112036,860400
32,-129114,860400
33,1112051,860400
34,1112110,860400
35,1094409,1209600
37,-115032,259200
39,1112160,860400
40,1094666,1209600
41,1288965,1209600
42,1094869,1209600
43,1093883,1209600
45,1094769,1209600
46,1288992,1209600
47,79553,259200
48,322592,259200
49,322562,259200
50,160425,259200
51,407814,259200
52,407783,259200
54,728916,691200
55,774886,691200
56,510081,691200
57,776844,691200
58,776917,691200
59,776956,691200
61,776970,691200
65,777000,691200
