1,-2791150,-3020400
2,-2791113,-3020400
3,3458001,3625200
4,-3751669,-3020400
5,-3751720,-3020400
6,-2704079,-3020400
7,-2789733,-3020400
8,-2704511,-3020400
9,3693151,3625200
11,3690490,3625200
12,3761853,3625200
13,224956,172800
14,224956,172800
15,3940121,3193200
16,3940121,3193200
17,-2856448,-3020400
18,3687615,3625200
19,224956,172800
20,2733169,3193200
21,3940121,3193200
25,3549599,3625200
26,3609451,3625200
27,-2790489,-3020400
28,225134,172800
29,-2789870,-3020400
30,-2700707,-3020400
31,-2704903,-3020400
32,-2700903,-3020400
37,3531308,3625200
41,3609352,3625200
43,3609352,3625200
44,3692770,3625200
45,3609450,3625200
48,3762760,3625200
49,2944308,3193200
55,1094343,172800
56,1094329,172800
59,3161578,3193200
