23,408234,604800
24,1037107,601200
32,405592,604800
34,408190,604800
35,513345,601200
36,631396,601200
37,825131,601200
38,473307,601200
40,900649,601200
42,735085,604800
44,809697,604800
48,661514,604800
49,433921,604800
50,595225,604800
51,406394,604800
52,635864,604800
53,862478,604800
56,406441,604800
58,751024,604800
59,750999,604800
60,408412,604800
61,750982,604800
62,773789,604800
64,680266,604800
65,579196,604800
66,398338,691200
67,582602,604800
68,582900,604800
71,159006,691200
72,148963,691200
73,165726,691200
74,161749,691200
75,246707,691200
76,170964,691200
77,680173,691200
78,149431,691200
81,337575,691200
83,240152,691200
84,349136,691200
85,354200,691200
86,354200,691200
88,561963,691200
89,585065,691200
