2,-1298235
3,-1410677
4,-1293049
5,-717915
6,34738
7,-1302955
8,34755
9,34703
10,-1298262
12,-1301272
13,-717960
15,421521
16,-718213
17,34772
18,-692930
19,34641
20,-717721
21,34762
23,-622218
24,34633
25,61155
26,421538
27,34651
28,34620
29,421490
31,2986989
33,62742
36,168785
39,139238
41,1816
42,-669
43,172205
44,37173
45,139153
46,139148
47,139192
48,139197
49,139144
50,168796
51,139454
52,168773
53,44857
55,232823
56,139175
57,232821
59,139224
60,232806
62,236305
63,144390
67,235998
70,236010
71,236027
72,232793
73,232775
74,236296
75,236081
76,1178636
77,236018
79,232683
82,236108
84,1178601
85,212011
86,211998
88,236144
