2,147702
3,-972451
4,147745
5,-997514
6,147779
7,-115253
8,147868
9,-992171
10,-993538
11,-197737
12,-197761
13,-972524
14,147886
15,147916
16,-798702
17,147932
18,147941
19,147963
20,-972923
21,-431921
22,-457890
23,-798869
24,-387846
25,-471617
26,-457858
27,-387944
28,-391854
29,-973937
30,251598
31,251636
32,-989514
33,251651
34,251710
35,-115191
37,-374232
39,251760
40,-114934
41,79365
42,-114731
43,-115717
45,-114831
46,79392
47,-179647
48,63392
49,63362
50,-98775
51,148614
52,148583
54,37716
55,83686
56,-181119
57,85644
58,85717
59,85756
61,85770
65,85800
